api,model,tech,prop_x,propcoverage
cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,props_1,0.0
cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,pbt_and_props,props_2,100.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,props_3,0.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,props_4,100.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,props_5,0.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt_and_props,props_1,0.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt_and_props,props_2,100.0
cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt_and_props,props_3,0.0
cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,pbt,props_1,0.0
cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,pbt,props_4,0.0
cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,pbt,props_5,100.0
cryptography.fernet.Fernet.encrypt,gpt-4-final,pbt,props_2,100.0
cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,pbt_and_props,props_1,100.0
cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,pbt_and_props,props_2,100.0
cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,pbt_and_props,props_3,100.0
cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,pbt_and_props,props_4,0.0
cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,pbt_and_props,props_5,0.0
cryptography.fernet.MultiFernet.rotate,gpt-4-final,pbt_and_props,props_3,100.0
datetime.date.isocalendar,gemini-1.5-pro-latest-final,pbt_and_props,props_1,100.0
datetime.date.isocalendar,gemini-1.5-pro-latest-final,pbt_and_props,props_4,0.0
datetime.date.isocalendar,gemini-1.5-pro-latest-final,pbt_and_props,props_5,100.0
datetime.date.isocalendar,gpt-4-final,pbt_and_props,props_2,100.0
datetime.date.isocalendar,gpt-4-final,pbt_and_props,props_3,100.0
datetime.date.isocalendar,gpt-4-final,pbt_and_props,props_4,100.0
datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,props_1,100.0
datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,props_2,100.0
datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,props_3,100.0
datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,props_4,100.0
datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,props_5,100.0
datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,props_1,100.0
datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,props_2,100.0
datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,props_3,100.0
datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,props_4,100.0
datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,pbt_and_props,props_5,100.0
