,Unnamed: 0,rep,mut,api,model,tech,killed
0,0,1,props_1buggy_1.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
1,1,1,props_1buggy_4.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
2,2,1,props_1buggy_3.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
3,3,1,props_1buggy_5.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
4,4,1,props_1buggy_2.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
20,20,1,props_5buggy_5.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
21,21,1,props_5buggy_4.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
22,22,1,props_5buggy_2.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
23,23,1,props_5buggy_3.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
24,24,1,props_5buggy_1.py,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,pbt,0
25,25,1,props_1buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
26,26,1,props_1buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
27,27,1,props_1buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
28,28,1,props_1buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
29,29,1,props_1buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
30,30,1,props_2buggy_5.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
31,31,1,props_2buggy_1.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
32,32,1,props_2buggy_2.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
33,33,1,props_2buggy_4.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
34,34,1,props_2buggy_3.py,datetime.datetime.fromordinal,claude-3-opus-20240229,pbt,1
