,rep,tech,api,model,test_name,total,soundness,validity
0,1,pbt,cryptography.fernet.Fernet.decrypt,claude-3-opus-20240229,test_cryptography_fernet_decrypt,1000,0.0,0.0
1,1,pbt,cryptography.fernet.Fernet.decrypt,gemini-1.5-pro-latest-final,test_fernet_decrypt,1000,0.0,0.0
2,1,pbt,cryptography.fernet.Fernet.decrypt,gpt-4-final,test_fernet_decrypt,1000,1000.0,1000.0
3,1,pbt,cryptography.fernet.Fernet.encrypt,claude-3-opus-20240229,test_fernet_encrypt,1000,1000.0,1000.0
4,1,pbt,cryptography.fernet.Fernet.encrypt,gemini-1.5-pro-latest-final,test_fernet_encrypt,1000,1000.0,1000.0
5,1,pbt,cryptography.fernet.Fernet.encrypt,gpt-4-final,test_fernet_encrypt,1000,1000.0,1000.0
6,1,pbt,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,results/claude-3-opus/cryptography.fernet.MultiFernet.rotate/pbt/pbt_1.py,1000,0.0,0.0
7,1,pbt,cryptography.fernet.MultiFernet.rotate,claude-3-opus-20240229,test_cryptography_fernet_multifernet_rotate,1000,,0.0
8,1,pbt,cryptography.fernet.MultiFernet.rotate,gemini-1.5-pro-latest-final,test_cryptography_fernet_multifernet_rotate,1000,0.0,0.0
9,1,pbt,cryptography.fernet.MultiFernet.rotate,gpt-4-final,test_multi_fernet_rotate,1000,0.0,0.0
10,1,pbt,datetime.date.isocalendar,claude-3-opus-20240229,test_date_isocalendar,1000,977.0,1000.0
11,1,pbt,datetime.date.isocalendar,gemini-1.5-pro-latest-final,test_datetime_date_isocalendar,1000,1000.0,547.0
12,1,pbt,datetime.date.isocalendar,gpt-4-final,test_date_isocalendar,1000,990.0,1000.0
13,1,pbt,datetime.datetime.fromordinal,claude-3-opus-20240229,test_datetime_fromordinal,1000,1000.0,1000.0
14,1,pbt,datetime.datetime.fromordinal,gemini-1.5-pro-latest-final,test_datetime_datetime_fromordinal,1000,0.0,0.0
15,1,pbt,datetime.datetime.fromordinal,gpt-4-final,test_datetime_fromordinal,1000,1000.0,1000.0
16,1,pbt,datetime.datetime.fromtimestamp,claude-3-opus-20240229,test_datetime_fromtimestamp,1000,0.0,0.0
17,1,pbt,datetime.datetime.fromtimestamp,gemini-1.5-pro-latest-final,test_datetime_fromtimestamp,1000,1000.0,141.0
18,1,pbt,datetime.datetime.fromtimestamp,gpt-4-final,test_datetime_fromtimestamp,1000,1000.0,184.0
19,1,pbt,datetime.timedelta.total_seconds,claude-3-opus-20240229,test_timedelta_total_seconds,1000,38.0,1000.0
20,1,pbt,datetime.timedelta.total_seconds,gemini-1.5-pro-latest-final,test_timedelta_total_seconds,1000,0.0,0.0
21,1,pbt,datetime.timedelta.total_seconds,gpt-4-final,test_timedelta_total_seconds,1000,599.0,1000.0
22,1,pbt,dateutil.parser.isoparse,claude-3-opus-20240229,test_dateutil_parser_isoparse,1000,998.0,950.0
23,1,pbt,dateutil.parser.isoparse,gemini-1.5-pro-latest-final,test_dateutil_parser_isoparse,1000,1000.0,456.0
24,1,pbt,dateutil.parser.isoparse,gpt-4-final,test_dateutil_parser_isoparse,1000,1000.0,1000.0
25,1,pbt,dateutil.parser.parse,claude-3-opus-20240229,test_dateutil_parser_parse,1000,860.0,1000.0
26,1,pbt,dateutil.parser.parse,gemini-1.5-pro-latest-final,test_dateutil_parser_parse,1000,1000.0,1000.0
27,1,pbt,dateutil.parser.parse,gpt-4-final,test_dateutil_parser_parse,1000,1000.0,1000.0
28,1,pbt,decimal.Decimal.as_integer_ratio,claude-3-opus-20240229,test_decimal_as_integer_ratio,1000,105.0,70.0
